,Unnamed: 0,Unnamed: 0.1,date,high,low,open,close,volume,adjclose,formatted_date,Ticker,Company,compound,predictclose_15
778.0,778,778,1600867800,112.11000061035156,106.7699966430664,111.62000274658205,107.12000274658205,150718700,106.2803192138672,2020-09-23,AAPL,Apple,0,118.79776
779.0,779,779,1600954200,110.25,105.0,105.16999816894533,108.22000122070312,167743300,107.37168884277344,2020-09-24,AAPL,Apple,0,117.61333
780.0,780,780,1601040600,112.44000244140624,107.66999816894533,108.43000030517578,112.27999877929688,149981400,111.39986419677734,2020-09-25,AAPL,Apple,0,116.68598
781.0,781,781,1601299800,115.31999969482422,112.77999877929688,115.01000213623048,114.95999908447266,137672400,114.0588607788086,2020-09-28,AAPL,Apple,0,116.21263
782.0,782,782,1601386200,115.30999755859376,113.56999969482422,114.5500030517578,114.08999633789062,99382200,113.1956787109375,2020-09-29,AAPL,Apple,0,116.050385
783.0,783,783,1601472600,117.26000213623048,113.62000274658205,113.79000091552734,115.80999755859376,142675200,114.9021987915039,2020-09-30,AAPL,Apple,0,116.150375
784.0,784,784,1601559000,117.72000122070312,115.83000183105467,117.63999938964844,116.79000091552734,116120400,115.87452697753906,2020-10-01,AAPL,Apple,0,116.545425
785.0,785,785,1601645400,115.37000274658205,112.22000122070312,112.88999938964844,113.0199966430664,144712000,112.13407135009766,2020-10-02,AAPL,Apple,0,116.908745
786.0,786,786,1601904600,116.6500015258789,113.5500030517578,113.91000366210938,116.5,106243800,115.58678436279295,2020-10-05,AAPL,Apple,0,117.35436
787.0,787,787,1601991000,116.12000274658205,112.25,115.6999969482422,113.16000366210938,161498200,112.27297973632812,2020-10-06,AAPL,Apple,0,117.774666
788.0,788,788,1602077400,115.5500030517578,114.12999725341795,114.62000274658205,115.08000183105467,96849000,114.17792510986328,2020-10-07,AAPL,Apple,0,118.18903
789.0,789,789,1602163800,116.4000015258789,114.58999633789062,116.25,114.97000122070312,83477200,114.06877899169922,2020-10-08,AAPL,Apple,0,118.611916
790.0,790,790,1602250200,117.0,114.91999816894533,115.27999877929688,116.97000122070312,100506900,116.05310821533205,2020-10-09,AAPL,Apple,0,119.05769
791.0,791,791,1602509400,125.18000030517578,119.27999877929688,120.05999755859376,124.4000015258789,240226800,123.42486572265624,2020-10-12,AAPL,Apple,0,119.827225
792.0,792,792,1602595800,125.38999938964844,119.6500015258789,125.2699966430664,121.0999984741211,262330500,120.1507339477539,2020-10-13,AAPL,Apple,0,120.81283
793.0,793,793,1602682200,123.02999877929688,119.62000274658205,121.0,121.19000244140624,150712000,120.24002075195312,2020-10-14,AAPL,Apple,0,121.813995
794.0,794,794,1602768600,121.1999969482422,118.1500015258789,118.72000122070312,120.70999908447266,112559200,119.76378631591795,2020-10-15,AAPL,Apple,0,122.70989
795.0,795,795,1602855000,121.5500030517578,118.80999755859376,121.27999877929688,119.0199966430664,115393800,118.08702087402344,2020-10-16,AAPL,Apple,0,123.493576
796.0,796,796,1603114200,120.41999816894533,115.66000366210938,119.95999908447266,115.9800033569336,120639300,115.07086181640624,2020-10-19,AAPL,Apple,0,124.0395
797.0,797,797,1603200600,118.9800033569336,115.62999725341795,116.1999969482422,117.51000213623048,124423700,116.5888671875,2020-10-20,AAPL,Apple,0,124.34983
798.0,798,798,1603287000,118.70999908447266,116.4499969482422,116.66999816894533,116.87000274658205,89946000,115.95388793945312,2020-10-21,AAPL,Apple,0,124.46816
799.0,799,799,1603373400,118.04000091552734,114.58999633789062,117.4499969482422,115.75,101988000,114.84266662597656,2020-10-22,AAPL,Apple,0,124.42978
800.0,800,800,1603459800,116.5500030517578,114.27999877929688,116.38999938964844,115.04000091552734,82572600,114.13823699951172,2020-10-23,AAPL,Apple,0,124.23931
801.0,801,801,1603719000,116.5500030517578,112.87999725341795,114.01000213623048,115.0500030517578,111850700,114.14816284179688,2020-10-26,AAPL,Apple,0,123.897835
802.0,802,802,1603805400,117.27999877929688,114.54000091552734,115.48999786376952,116.5999984741211,92276800,115.68600463867188,2020-10-27,AAPL,Apple,0,123.54637
803.0,803,803,1603891800,115.43000030517578,111.0999984741211,115.0500030517578,111.1999969482422,143937800,110.32833099365234,2020-10-28,AAPL,Apple,0,123.0357
804.0,804,804,1603978200,116.93000030517578,112.1999969482422,112.37000274658205,115.31999969482422,146129200,114.41603088378906,2020-10-29,AAPL,Apple,0,122.500725
805.0,805,805,1604064600,111.98999786376952,107.72000122070312,111.05999755859376,108.86000061035156,190272600,108.00668334960938,2020-10-30,AAPL,Apple,0,121.750916
806.0,806,806,1604327400,110.68000030517578,107.31999969482422,109.11000061035156,108.7699966430664,122866900,107.91737365722656,2020-11-02,AAPL,Apple,0,120.838615
807.0,807,807,1604413800,111.48999786376952,108.7300033569336,109.66000366210938,110.44000244140624,107624400,109.57429504394533,2020-11-03,AAPL,Apple,0,119.916794
808.0,808,808,1604500200,115.58999633789062,112.3499984741211,114.13999938964844,114.9499969482422,138235500,114.04894256591795,2020-11-04,AAPL,Apple,0,119.26937
809.0,809,809,1604586600,119.62000274658205,116.87000274658205,117.9499969482422,119.02999877929688,126387100,118.09695434570312,2020-11-05,AAPL,Apple,0,119.058136
810.0,810,810,1604673000,119.1999969482422,116.12999725341795,118.31999969482422,118.69000244140624,114457900,117.9627914428711,2020-11-06,AAPL,Apple,0,119.16791
811.0,811,811,1604932200,121.98999786376952,116.0500030517578,120.5,116.31999969482422,154515300,115.6072998046875,2020-11-09,AAPL,Apple,0,119.48084
812.0,812,812,1605018600,117.58999633789062,114.12999725341795,115.5500030517578,115.97000122070312,138023400,115.25945281982422,2020-11-10,AAPL,Apple,0,119.79841
813.0,813,813,1605105000,119.62999725341795,116.44000244140624,117.19000244140624,119.48999786376952,112295000,118.75788116455078,2020-11-11,AAPL,Apple,0,120.24062
814.0,814,814,1605191400,120.52999877929688,118.56999969482422,119.62000274658205,119.20999908447266,103162300,118.47959899902344,2020-11-12,AAPL,Apple,0,120.793274
815.0,815,815,1605277800,119.66999816894533,117.87000274658205,119.44000244140624,119.26000213623048,81581900,118.52928924560548,2020-11-13,AAPL,Apple,0,121.39484
816.0,816,816,1605537000,120.98999786376952,118.1500015258789,118.91999816894533,120.3000030517578,91183000,119.56291961669922,2020-11-16,AAPL,Apple,0,122.01994
817.0,817,817,1605623400,120.66999816894533,118.95999908447266,119.5500030517578,119.38999938964844,74271000,118.65850067138672,2020-11-17,AAPL,Apple,0,122.61786
818.0,818,818,1605709800,119.81999969482422,118.0,118.61000061035156,118.02999877929688,76322100,117.30681610107422,2020-11-18,AAPL,Apple,0,123.10505
819.0,819,819,1605796200,119.05999755859376,116.80999755859376,117.58999633789062,118.63999938964844,74113000,117.9130859375,2020-11-19,AAPL,Apple,0,123.484825
